ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
129,1,1,1,2,1,0,0,0,2,3,0
130,0,1,1,2,0,0,3,0,2,1,0
131,0,1,0,2,0,0,0,0,2,1,0
132,0,1,0,2,0,0,3,0,2,1,0
133,1,1,0,0,0,1,0,0,2,0,0
134,1,1,0,2,0,0,0,0,2,2,0
135,1,1,0,2,1,0,3,1,2,3,0
136,0,1,1,0,0,1,0,0,2,1,1
137,1,1,1,0,0,0,0,3,2,2,1
138,0,1,0,0,0,0,3,0,2,1,0
139,1,4,0,0,0,0,0,0,2,3,0
140,0,4,0,0,0,1,0,0,2,2,0
141,0,4,1,0,0,0,0,0,2,2,0
142,1,4,0,1,2,1,2,1,2,0,0
143,0,4,1,0,0,0,2,3,2,1,0
144,0,4,1,2,0,0,3,0,2,2,0
145,0,4,1,0,0,0,3,3,2,1,1
146,1,4,1,0,0,1,0,0,2,0,0
147,0,4,1,0,0,0,0,0,2,1,1
148,0,4,1,0,0,0,0,0,2,2,0
149,0,4,0,1,0,0,3,0,2,1,0
150,1,4,1,0,0,0,0,0,2,0,0
151,1,4,1,2,0,0,0,0,2,0,0
152,1,4,1,0,0,1,0,0,2,0,0
153,0,4,0,1,0,0,0,0,2,1,0
154,0,4,1,2,0,0,3,3,2,1,0
155,1,4,0,2,0,0,0,0,2,3,0
156,0,4,0,1,0,0,3,3,2,2,1
157,1,4,0,2,0,0,0,3,2,0,0
158,0,4,0,0,0,0,0,0,2,1,1
159,1,4,1,2,0,1,0,0,2,0,0
160,0,4,0,2,0,1,0,0,2,1,0
161,0,4,0,2,0,0,3,3,2,1,1
162,1,4,1,0,1,0,3,3,2,0,1
163,1,4,1,0,0,0,0,0,2,3,0
164,0,4,0,0,0,0,0,0,2,2,0
165,0,4,1,2,1,0,3,3,2,2,0
