ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
55,1,35,Female,Married,35000,Frist-Hand,345695,270000,60,5.265,Average_Capital_Plus_Interest_Repayment
56,0,35,Female,Married,12800,Frist-Hand,1317952.33,365000,60,4.032,Average_Capital_Plus_Interest_Repayment
57,1,36,Male,Single,18800,Frist-Hand,582509,460000,60,6.579,Average_Capital_Plus_Interest_Repayment
58,1,36,Female,Single,0,Frist-Hand,1808421,1260000,60,6.579,Average_Capital_Plus_Interest_Repayment
59,0,36,Female,Married,20000,Frist-Hand,938083.8,430000,60,4.896,Average_Capital_Plus_Interest_Repayment
60,1,36,Male,Single,8000,Frist-Hand,563458,280000,60,5.265,Average_Capital_Plus_Interest_Repayment
61,0,36,Female,Single,13500,Frist-Hand,724719.73,330000,60,4.032,Average_Capital_Plus_Interest_Repayment
62,1,37,Female,Married,20000,Second-Hand,531312,160000,60,5.346,Average_Capital_Plus_Interest_Repayment
63,0,37,Female,Married,25000,Frist-Hand,1152168.81,2.00E+05,60,4.032,Matching_The_Principal_Repayment
64,1,37,Male,Married,16000,Second-Hand,422532,220000,60,6.579,Average_Capital_Plus_Interest_Repayment
65,1,37,Female,Married,5000,Second-Hand,386895,2.00E+05,60,5.508,Average_Capital_Plus_Interest_Repayment
66,1,37,Male,Married,20000,Frist-Hand,919754,640000,60,5.049,Average_Capital_Plus_Interest_Repayment
67,1,38,Female,Married,30000,Second-Hand,1306650,1.00E+06,60,6.5025,Average_Capital_Plus_Interest_Repayment
68,1,38,Female,Married,116000,Frist-Hand,378142,260000,60,6.579,Average_Capital_Plus_Interest_Repayment
69,1,38,Male,Single,0,Frist-Hand,926215,640000,60,5.508,Average_Capital_Plus_Interest_Repayment
70,1,38,Female,Married,21680,Frist-Hand,783093,5.00E+05,60,5.8905,Average_Capital_Plus_Interest_Repayment
71,1,39,Male,Married,50000,Frist-Hand,414664,290000,60,7.15275,Average_Capital_Plus_Interest_Repayment
72,1,39,Female,Single,7000,Frist-Hand,344942,190000,60,6.426,Average_Capital_Plus_Interest_Repayment
73,1,39,Male,Married,5.00E+06,Frist-Hand,492303,390000,60,5.265,Average_Capital_Plus_Interest_Repayment
74,0,39,Male,Single,8000,Frist-Hand,1184748.99,3.00E+05,60,4.896,Average_Capital_Plus_Interest_Repayment
75,0,40,Female,Married,60000,Frist-Hand,4492350.88,1520000,60,4.032,Average_Capital_Plus_Interest_Repayment
76,1,40,Male,Single,5000,Second-Hand,357000,249000,60,6.6555,Matching_The_Principal_Repayment
77,1,40,Female,Married,8333.333333,Second-Hand,1152195,8.00E+05,60,5.8905,Average_Capital_Plus_Interest_Repayment
78,1,41,Male,Single,28000,Frist-Hand,863946,690000,60,6.5025,Average_Capital_Plus_Interest_Repayment
79,0,41,Male,Single,43000,Frist-Hand,1489027.04,6.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
80,1,41,Female,Single,10000,Frist-Hand,310693,240000,60,6.579,Matching_The_Principal_Repayment
81,0,41,Male,Married,30000,Frist-Hand,7957039.29,3240000,60,4.896,Average_Capital_Plus_Interest_Repayment
82,1,41,Female,Unknown,35000,Frist-Hand,461482,369000,60,5.265,Average_Capital_Plus_Interest_Repayment
83,1,42,Female,Unknown,60000,Frist-Hand,1735493,1360000,60,6.5025,Average_Capital_Plus_Interest_Repayment
84,1,42,Male,Married,25000,Frist-Hand,472783,378000,60,4.896,Average_Capital_Plus_Interest_Repayment
85,1,42,Male,Married,22000,Frist-Hand,705345,350000,60,6.5025,Average_Capital_Plus_Interest_Repayment
86,1,42,Female,Divorce,8500,Second-Hand,118165,90000,60,4.896,Average_Capital_Plus_Interest_Repayment
87,0,43,Male,Married,12500000,Second-Hand,600994,4.00E+05,60,4.896,Average_Capital_Plus_Interest_Repayment
88,0,43,Male,Married,7800,Second-Hand,534787.13,220000,60,5.184,Average_Capital_Plus_Interest_Repayment
89,1,44,Male,Married,15000,Second-Hand,740194,5.00E+05,60,4.896,Average_Capital_Plus_Interest_Repayment
90,0,44,Male,Married,18000,Frist-Hand,494674.76,240000,60,4.896,Average_Capital_Plus_Interest_Repayment
91,0,45,Male,Married,13000,Second-Hand,735660.5,3.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
