prob_predict,y,y_predict,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
0.8172539594702021,1,1,1,0,0,1,0,0,0,4,2,0
0.9946322622087039,1,1,1,0,1,0,0,0,0,4,3,0
0.5072008174184086,1,1,1,0,1,1,1,1,2,4,2,0
0.24128230683235213,0,0,1,0,2,1,0,1,2,4,1,0
0.378454304465446,0,0,1,0,2,1,0,1,2,4,2,0
0.9783342484180008,1,1,1,0,0,0,1,0,0,4,0,0
0.07124809134673511,0,0,1,0,1,1,0,2,2,4,1,0
0.26868479708412685,0,0,1,0,0,1,0,2,2,4,1,1
0.37626088956260445,0,0,1,0,0,0,1,0,0,4,1,0
0.9783342484180008,1,1,1,0,0,0,1,0,0,4,0,0
0.8872595543409548,1,1,1,0,1,1,0,0,0,4,2,1
0.2686473630524899,0,0,1,1,2,0,1,0,0,4,2,0
0.9836035941323171,1,1,1,1,0,0,0,0,0,4,0,0
0.9950853210757413,1,1,1,0,0,0,0,0,2,4,0,0
0.15191480443318614,0,0,1,0,2,1,0,2,0,4,1,0
0.27035387779599035,1,0,1,0,2,0,0,1,0,4,2,1
0.5845344060508324,1,1,4,1,0,0,0,0,0,4,1,0
0.3111755689108604,0,0,4,1,2,0,0,1,0,4,1,1
0.9879846710329927,1,1,4,1,0,0,0,0,0,4,0,0
0.41006607008464974,1,1,4,0,2,0,1,0,0,4,2,0
0.971331606013336,1,1,4,1,2,0,1,0,0,4,0,0
0.9783237258419665,1,1,4,0,0,2,0,0,0,4,2,0
0.9783237258419665,1,1,4,0,0,2,0,0,0,4,2,0
0.9399040996707815,1,1,4,0,2,2,0,2,1,4,2,1
0.9783720145891898,1,1,4,1,2,1,0,1,2,4,0,1
0.5069879173341141,1,1,4,1,0,0,1,0,0,4,1,1
0.6148337206204363,0,1,4,1,2,1,0,0,0,4,1,0
0.7215281912202524,1,1,4,1,2,1,0,2,2,4,2,1
0.9783310776029852,1,1,4,1,1,1,0,1,0,4,0,1
0.31382537693861695,0,0,4,0,2,0,0,2,2,4,1,1
0.6519985955065066,1,1,4,1,2,0,0,0,0,4,2,0
0.6730655553824897,0,1,4,0,2,0,0,0,0,4,2,0
0.9960811827710777,1,1,4,1,2,1,0,0,2,4,0,0
0.5845344060508324,0,1,4,1,0,0,0,0,0,4,1,0
0.30493091193144967,0,0,0,1,2,1,0,2,0,4,1,0
0.9783174894970462,1,1,0,0,2,2,0,2,1,4,0,1
0.9493789617391849,0,1,0,1,0,2,0,0,0,4,2,0
0.9758589920651651,1,1,0,1,2,0,1,0,0,4,0,1
0.8333669990087703,1,1,0,0,0,0,0,0,0,4,2,1
0.15186198219799446,0,0,0,1,2,0,1,1,0,4,2,0
0.9999834511186448,1,1,0,1,1,1,0,0,2,4,0,1
0.9957501491125444,1,1,0,0,2,1,0,0,2,4,0,0
0.9999951914380429,1,1,0,1,2,2,0,0,2,4,0,0
0.8625139361700564,1,1,0,1,2,1,1,1,2,4,2,0
0.9953390511831631,1,1,0,0,2,0,0,0,0,4,3,1
0.4792879308522113,0,1,0,1,0,0,1,0,0,4,2,0
0.7823196955399256,1,1,0,1,2,2,0,2,1,4,2,0
0.9904124592436777,1,1,0,1,2,2,1,2,2,4,0,0
0.774417626284796,1,1,0,1,2,1,1,0,0,4,2,0
0.7139019284039299,1,1,0,0,0,0,0,0,0,4,2,0
0.9442472678857476,1,1,0,0,2,0,0,2,2,4,3,0
0.6290595200514091,0,1,0,1,0,1,0,1,2,4,2,0
0.39553374174857053,0,0,0,1,0,0,0,2,0,4,2,1
