prob_predict,y,y_predict,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
1.2504627242405166,1,1.0,1,0,0,1,0,0,0,4,2,0
0.5709459908183738,1,1.0,1,0,1,0,0,0,0,4,3,0
0.7513610536476658,1,1.0,1,0,1,1,1,1,2,4,2,0
0.4338223529352405,-1,1.0,1,0,2,1,0,1,2,4,1,0
0.31563279791877075,-1,1.0,1,0,2,1,0,1,2,4,2,0
1.3612429115966247,1,1.0,1,0,0,0,1,0,0,4,0,0
0.3269675524758522,-1,1.0,1,0,1,1,0,2,2,4,1,0
0.7297180706489306,-1,1.0,1,0,0,1,0,2,2,4,1,1
1.2430533565801838,-1,1.0,1,0,0,0,1,0,0,4,1,0
1.3612429115966247,1,1.0,1,0,0,0,1,0,0,4,0,0
0.9004997711639136,1,1.0,1,0,1,1,0,0,0,4,2,1
0.2758124245751372,-1,1.0,1,1,2,0,1,0,0,4,2,0
1.2055334857535924,1,1.0,1,1,0,0,0,0,0,4,0,0
1.6029664725047112,1,1.0,1,0,0,0,0,0,2,4,0,0
-0.3504842641611463,-1,-1.0,1,0,2,1,0,2,0,4,1,0
-0.1440389433259479,1,-1.0,1,0,2,0,0,1,0,4,2,1
1.2159226833017238,1,1.0,4,1,0,0,0,0,0,4,1,0
0.006391458516072701,-1,1.0,4,1,2,0,0,1,0,4,1,1
1.334112238318193,1,1.0,4,1,0,0,0,0,0,4,0,0
0.5007290828786914,1,1.0,4,0,2,0,1,0,0,4,2,0
0.6407702871726093,1,1.0,4,1,2,0,1,0,0,4,0,0
1.5640119195859024,1,1.0,4,0,0,2,0,0,0,4,2,0
1.5640119195859024,1,1.0,4,0,0,2,0,0,0,4,2,0
0.02181669922216023,1,1.0,4,0,2,2,0,2,1,4,2,1
0.6106465373255745,1,1.0,4,1,2,1,0,1,2,4,0,1
1.3016879859539874,1,1.0,4,1,0,0,1,0,0,4,1,1
0.6481796548328969,-1,1.0,4,1,2,1,0,0,0,4,1,0
-0.10894410879154148,1,-1.0,4,1,2,1,0,2,2,4,2,1
0.685908191938257,1,1.0,4,1,1,1,0,1,0,4,0,1
-0.07938709081693962,-1,-1.0,4,0,2,0,0,2,2,4,1,1
0.3450196570356103,1,1.0,4,1,2,0,0,0,0,4,2,0
0.4413575627746076,-1,1.0,4,0,2,0,0,0,0,4,2,0
1.067464290861497,1,1.0,4,1,2,1,0,0,2,4,0,0
1.2159226833017238,-1,1.0,4,1,0,0,0,0,0,4,1,0
-0.48968175408830406,-1,-1.0,0,1,2,1,0,2,0,4,1,0
0.08675747250226062,1,1.0,0,0,2,2,0,2,1,4,0,1
1.296235677094173,-1,1.0,0,1,0,2,0,0,0,4,2,0
0.4957257329680502,1,1.0,0,1,2,0,1,0,0,4,0,1
1.0490264798197269,1,1.0,0,0,0,0,0,0,0,4,2,1
-0.2502586956973307,-1,-1.0,0,1,2,0,1,1,0,4,2,0
1.298776472281807,1,1.0,0,1,1,1,0,0,2,4,0,1
0.9923638598477058,1,1.0,0,0,2,1,0,0,2,4,0,0
